udp        0      0 0.0.0.0:111             0.0.0.0:*                           1645/rpcbind        
tcp        0      0 0.0.0.0:111             0.0.0.0:*               LISTEN      1645/rpcbind        
udp        0      0 0.0.0.0:137             0.0.0.0:*                           2258/nmbd           
udp        0      0 0.0.0.0:138             0.0.0.0:*                           2258/nmbd           
tcp        0      0 0.0.0.0:139             0.0.0.0:*               LISTEN      2355/smbd           
udp        0      0 0.0.0.0:15663           0.0.0.0:*                           1965/sunloginclient 
tcp        0      0 0.0.0.0:16602           0.0.0.0:*               LISTEN      1895/pgyvpn_svr     
tcp        0      0 0.0.0.0:16603           0.0.0.0:*               LISTEN      1895/pgyvpn_svr     
tcp        0      0 0.0.0.0:22              0.0.0.0:*               LISTEN      2263/sshd           
udp        0      0 0.0.0.0:34912           0.0.0.0:*                           1965/sunloginclient 
udp        0      0 0.0.0.0:37708           0.0.0.0:*                           1669/avahi-daemon:  
tcp        0      0 0.0.0.0:37909           0.0.0.0:*               LISTEN      1965/sunloginclient 
tcp        0      0 0.0.0.0:445             0.0.0.0:*               LISTEN      2355/smbd           
udp        0      0 0.0.0.0:47458           0.0.0.0:*                           1895/pgyvpn_svr     
udp        0      0 0.0.0.0:5353            0.0.0.0:*                           1669/avahi-daemon:  
udp        0      0 0.0.0.0:5656            0.0.0.0:*                           1965/sunloginclient 
udp        0      0 0.0.0.0:631             0.0.0.0:*                           89830/cups-browsed  
udp        0      0 0.0.0.0:68              0.0.0.0:*                           2167/dhclient       
tcp        0      0 0.0.0.0:8787            0.0.0.0:*               LISTEN      1723/rserver        
udp        0      0 0.0.0.0:973             0.0.0.0:*                           1645/rpcbind        
udp6       0      0 :::111                  :::*                                1645/rpcbind        
tcp6       0      0 :::111                  :::*                    LISTEN      1645/rpcbind        
udp        0      0 127.0.0.1:10808         0.0.0.0:*                           2245/v2ray          
tcp        0      0 127.0.0.1:10808         0.0.0.0:*               LISTEN      2245/v2ray          
tcp        0      0 127.0.0.1:10809         0.0.0.0:*               LISTEN      2245/v2ray          
udp        0      0 127.0.0.1:10853         0.0.0.0:*                           2245/v2ray          
tcp        0      0 127.0.0.1:10853         0.0.0.0:*               LISTEN      2245/v2ray          
tcp        0      0 127.0.0.1:16308         0.0.0.0:*               LISTEN      1965/sunloginclient 
tcp        0      0 127.0.0.1:3306          0.0.0.0:*               LISTEN      2339/mysqld         
tcp        0      0 127.0.0.1:33723         0.0.0.0:*               LISTEN      29801/node          
tcp        0      0 127.0.0.1:3899          0.0.0.0:*               LISTEN      41187/SC2_x64       
tcp        0      0 127.0.0.1:3999          0.0.0.0:*               LISTEN      36282/SC2_x64       
tcp        0      0 127.0.0.1:4000          0.0.0.0:*               LISTEN      36286/SC2_x64       
udp        0      0 127.0.0.1:4002          0.0.0.0:*                           36282/SC2_x64       
tcp        0      0 127.0.0.1:4003          0.0.0.0:*               LISTEN      36282/SC2_x64       
udp        0      0 127.0.0.1:4004          0.0.0.0:*                           36286/SC2_x64       
tcp        0      0 127.0.0.1:4005          0.0.0.0:*               LISTEN      36286/SC2_x64       
